position,salary,salary,salary,salary,salary
,sum,count,mean,min,max
Center,9080686699,1765,5144864.985269122,5383,29464000
Forward,2040314208,578,3529955.3771626297,4608,25000000
Guard,2441304953,697,3502589.6025824966,2692,23200000
Point Guard,6526484746,1475,4424735.421016949,15984,40231758
Power Forward,8463082559,1731,4889129.150202195,4533,34449964
Shooting Guard,7302425093,1699,4298072.450264862,4533,38199000
Small Forward,6483015176,1454,4458744.962861073,2692,38199000
