team,season,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
Chicago Bulls,2003,33836000,9,3759555.5555555555,512000,12072000
Chicago Bulls,2004,12549000,3,4183000.0,2577000,6246000
Chicago Bulls,2005,15150000,2,7575000.0,3150000,12000000
Chicago Bulls,2006,35923600,13,2763353.846153846,398762,8299670
Chicago Bulls,2007,57194833,17,3364401.9411764704,664209,16000000
Chicago Bulls,2008,41855975,12,3487997.9166666665,427163,11250000
Chicago Bulls,2009,38978459,9,4330939.888888889,711517,10000000
Chicago Bulls,2010,59099343,17,3476431.9411764704,186271,12250000
Chicago Bulls,2011,71371025,19,3756369.736842105,130165,14400000
Chicago Bulls,2012,78865071,19,4150793.210526316,220487,13500000
Chicago Bulls,2013,96523973,20,4826198.65,736420,17632688
Chicago Bulls,2014,62931596,13,4840892.0,48854,17632688
Chicago Bulls,2015,69857980,16,4366123.75,507336,18862876
Chicago Bulls,2016,89638318,16,5602394.875,525093,20093064
Chicago Bulls,2017,88891859,19,4678518.894736842,543471,23200000
Chicago Bulls,2018,79359717,18,4408873.166666667,543471,14357750
Chicago Bulls,2019,80706074,16,5044129.625,85458,19500000
Chicago Bulls,2020,133127813,22,6051264.2272727275,898310,27250575
Cleveland Cavaliers,2000,27916000,7,3988000.0,1394000,10780000
Cleveland Cavaliers,2001,40283000,13,3098692.3076923075,1200000,10130000
Cleveland Cavaliers,2002,45919000,15,3061266.6666666665,332000,11250000
Cleveland Cavaliers,2003,31028000,9,3447555.5555555555,749000,12375000
Cleveland Cavaliers,2004,36772000,8,4596500.0,1757000,13500000
Cleveland Cavaliers,2005,22195000,3,7398333.333333333,2695000,14625000
Cleveland Cavaliers,2006,49820611,13,3832354.6923076925,398762,10344900
Cleveland Cavaliers,2007,62992728,15,4199515.2,412718,13363012
Cleveland Cavaliers,2008,88669877,17,5215875.117647059,87945,15500000
Cleveland Cavaliers,2009,91160252,16,5697515.75,46917,14500000
Cleveland Cavaliers,2010,70393926,13,5414917.384615385,457588,21000000
Cleveland Cavaliers,2011,43642615,16,2727663.4375,40375,13358905
Cleveland Cavaliers,2012,47703068,21,2271574.6666666665,22916,15076715
Cleveland Cavaliers,2013,50620600,21,2410504.761904762,40375,8368182
Cleveland Cavaliers,2014,59463984,14,4247427.428571428,490180,14275000
Cleveland Cavaliers,2015,67757418,13,5212109.076923077,495399,20644400
Cleveland Cavaliers,2016,104254519,15,6950301.266666667,845059,22970500
Cleveland Cavaliers,2017,133411547,18,7411752.611111111,5767,30963450
Cleveland Cavaliers,2018,84211458,11,7655587.090909091,207722,24119025
Cleveland Cavaliers,2019,88610922,12,7384243.5,1512601,24119025
Cleveland Cavaliers,2020,95063965,13,7312612.692307692,1290960,28942830
Dallas Mavericks,2000,9003000,3,3001000.0,1583000,5500000
Dallas Mavericks,2001,30087000,8,3760875.0,316000,8400000
Dallas Mavericks,2002,32178000,12,2681500.0,465000,10625000
Dallas Mavericks,2003,53950000,9,5994444.444444444,2923000,11953000
Dallas Mavericks,2004,47615000,7,6802142.857142857,1537000,13500000
Dallas Mavericks,2005,43701000,5,8740200.0,5714000,14609000
Dallas Mavericks,2006,75624360,16,4726522.5,398762,15694250
Dallas Mavericks,2007,69109497,17,4065264.529411765,412718,15101622
