season,position,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
2013,Point Guard,290633231,111,2618317.396396396,27859,18668431
2013,Power Forward,440681269,125,3525450.152,68902,19444503
2013,Shooting Guard,358146849,133,2692833.4511278197,20103,14968250
2013,Small Forward,376152965,117,3214982.606837607,22287,30453805
2014,Center,428498886,87,4925274.551724138,29788,21679893
2014,Forward,154279240,34,4537624.705882353,387995,22721381
2014,Guard,167809829,41,4092922.6585365855,46404,21466718
2014,Point Guard,246283387,63,3909260.111111111,57627,18668431
2014,Power Forward,366225121,74,4948988.121621622,8232,21388953
2014,Shooting Guard,270871455,75,3611619.4,52017,14283844
2014,Small Forward,243336615,60,4055610.25,9281,30453805
2015,Center,438893615,97,4524676.443298969,183049,21436271
2015,Forward,133684647,43,3108945.2790697673,59686,16500000
2015,Guard,202702804,49,4136791.9183673467,29483,23180790
2015,Point Guard,309573796,78,3968894.8205128205,53838,20068563
2015,Power Forward,386350527,93,4154306.7419354836,53838,22458401
2015,Shooting Guard,296822572,88,3372983.772727273,29843,15937290
2015,Small Forward,288983199,79,3658015.1772151897,53838,23500000
2016,Center,503693605,92,5474930.489130435,83397,22359364
2016,Forward,149352974,48,3111520.2916666665,49709,12000000
2016,Guard,167643558,52,3223914.576923077,111444,20000000
2016,Point Guard,363738921,76,4786038.434210527,55722,21468695
2016,Power Forward,387772200,84,4616335.714285715,245177,22875000
2016,Shooting Guard,335307967,90,3725644.077777778,55722,17120106
2016,Small Forward,349882983,79,4428898.518987342,30888,25000000
2017,Center,631143621,99,6375188.090909091,67135,23180275
2017,Forward,212925141,62,3434276.4677419355,23069,25000000
2017,Guard,236298747,78,3029471.1153846155,57672,23200000
2017,Point Guard,476614680,86,5542031.162790698,15984,26540100
2017,Power Forward,492757058,97,5079969.670103093,57672,26540100
2017,Shooting Guard,487194291,97,5022621.556701031,5767,26540100
2017,Small Forward,412780145,75,5503735.266666667,57672,30963450
2018,Center,733333051,103,7119738.359223301,67135,25434263
2018,Forward,170296808,53,3213147.320754717,4608,17190000
2018,Guard,178651308,70,2552161.5428571426,13824,18500000
2018,Point Guard,574276166,86,6677629.837209302,31969,37457154
2018,Power Forward,592667802,104,5698728.865384615,4608,32088932
2018,Shooting Guard,667363988,106,6295886.679245283,246956,28299399
2018,Small Forward,421758897,76,5549459.171052632,57672,29727900
2019,Center,634578137,85,7465625.141176471,17092,25467250
2019,Forward,126997761,36,3527715.5833333335,18948,14651700
2019,Guard,140278893,52,2697671.019230769,9474,18500000
2019,Point Guard,618636400,75,8248485.333333333,59820,37457154
2019,Power Forward,567986422,78,7281877.205128205,184746,32088932
2019,Shooting Guard,688254855,101,6814404.504950495,4737,30560700
2019,Small Forward,592601639,76,7797389.986842105,42634,35654150
2020,Center,706615586,83,8513440.795180723,245686,28000000
2020,Forward,91152667,20,4557633.35,1187862,14651700
2020,Guard,107946187,38,2840689.1315789474,208509,18500000
2020,Point Guard,774094676,82,9440178.975609757,350189,40231758
2020,Power Forward,635299132,89,7138192.494382023,183115,34449964
2020,Shooting Guard,811173405,122,6648962.336065574,155647,38199000
2020,Small Forward,721147118,94,7671777.85106383,350189,38199000
